Account Name,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
@BBCWorld,0.0,Mar-31-2018 00:38:37,1.0,0.0,0.0,In pictures: The churches of Lalibela in Ethiopia https://t.co/9GlKDomFOo,1
@BBCWorld,0.0,Mar-30-2018 23:56:50,1.0,0.0,0.0,Breaking the period taboo in Pakistan https://t.co/zYqf0Us2fI,2
@BBCWorld,0.0,Mar-30-2018 23:51:49,1.0,0.0,0.0,The men who had millions of lives in their hands https://t.co/bCDHwa18TE,3
@BBCWorld,-0.5719,Mar-30-2018 23:49:19,0.748,0.252,0.0,"Costa Rica polls: 'People hate us, we might move to Spain' https://t.co/Irr88AL04W",4
@BBCWorld,-0.4939,Mar-30-2018 23:29:22,0.686,0.314,0.0,The country where children fear election time https://t.co/Ns92Bo3Oq2,5
@BBCWorld,0.0,Mar-30-2018 23:24:44,1.0,0.0,0.0,Week in pictures: 24 - 30 March 2018 https://t.co/iS4Cvu0Am0,6
@BBCWorld,0.0,Mar-30-2018 23:07:50,1.0,0.0,0.0,"Prince Laurent: €46,000 blow for Belgium's 'cursed prince' https://t.co/FauI5N9jNo",7
@BBCWorld,0.0,Mar-30-2018 22:01:24,1.0,0.0,0.0,North Korea sanctions: UN blacklists shipping firms https://t.co/URRJ9FYvSX,8
@BBCWorld,0.1531,Mar-30-2018 21:43:33,0.38,0.291,0.329,Iowa man wins legal battle to say hometown stinks https://t.co/L0Yxag5UGd,9
@BBCWorld,0.0,Mar-30-2018 19:15:36,0.729,0.135,0.135,Mauritania court gives toughest sentence for slave owners https://t.co/JgcmnJy1DV,10
@BBCWorld,0.0,Mar-30-2018 18:48:07,1.0,0.0,0.0,Police shot unarmed US man '7 times in back' https://t.co/XhBhOwZfw6,11
@BBCWorld,0.0,Mar-30-2018 17:32:08,1.0,0.0,0.0,Schwarzenegger has heart surgery https://t.co/7q1nkfhBuK,12
